source	target	relation_type	confidence	evidence	note	reviewer	reviewed_at
slips:39	bips:32	depends_on	high	This SLIP describes a standard and interoperable implementation of Shamir's secret-sharing (SSS) and a specification for its use in backing up Hierarchical Deterministic Wallets described in BIP-0032.		rbo	2026-06-22
slips:39	bips:39	supersedes	high	This SLIP is mainly intended as a replacement for BIP-0039 and for the most part, the two are not compatible.		rbo	2026-06-22
slips:44	bips:44	depends_on	high	BIP-0044 defines a logical hierarchy for deterministic wallets. Level 2 of the hierarchy describes a coin type in use. BIP repository does not want to deal with assigning the values for various coin types different than Bitcoin so we propose this SLIP to become such body.		rbo	2026-06-22
bips:12	bips:11	references	low	See Also [...] M-of-N Multisignature Transactions BIP 11		rbo	2026-06-23
bips:18	bips:13	references	low	This BIP modifies the basic format of transaction inputs and outputs, replacing the current scriptSig and scriptPubKey [...] with new contents: dataSig, scriptCheck, and hashScriptCheck. [...] See Also [...] The Address format for Pay to Script Hash BIP	BIP13 defines the address format for pay-to-script-hash transactions which is used in scriptSig and scriptPubKey	rbo	2026-06-23
bips:18	bips:16	supersedes	medium	It also replaces BIP 16, which is identical in terms of protocol, but suggests a specific implementation and does not deprecate scriptPubKey to maintain protocol consistency.	BIP16 defines the pay-to-script-hash transaction type, which BIP18 is modifying/extending.	rbo	2026-06-23
bips:18	bips:12	supersedes	medium	This BIP replaces BIPs 12 and 17, which propose extensions to the Script system to allow scriptPubKey to outsource its verification.		rbo	2026-06-23
bips:18	bips:17	supersedes	high	This BIP replaces BIPs 12 and 17, which propose extensions to the Script system to allow scriptPubKey to outsource its verification.	BIP17 defines opcode OP_CHECKHASHVERIFY and a new then-standard transaction type. BIP18 now upgrades the hashScriptCheck which uses the OP_CHECKHASHVERIFY (and makes it obsolete)	rbo	2026-06-23
bips:20	bips:21	superseded_by	high	Proposed-Replacement: 21 [...] BIP 0020 is based off an earlier document by Nils Schneider. And has been replaced by BIP 0021		rbo	2026-06-23
bips:22	bips:16	references	high	"total number of SigOps, as counted for purposes of block limits; if key is not present, sigop count is unknown [...] Due to the BIP 0016 changes regarding rules on block sigops, it is impossible to count sigops from the transactions themselves (the sigops in the scriptCheck 
must also be included in the count)."	References BIP16 simply to provide the motivation of why sigops-related fields are part of BIP22's speficiation.	rbo	2026-06-26
bips:22	bips:23	references	high	See Also BIP 23: getblocktemplate - Pooled Mining	"Reference since BIP23 ""describes extensions to the getblocktemplate JSON-RPC call to enhance pooled mining"" and is to be undertsood as ""extensions to the getblocktemplate JSON-RPC call to enhance pooled mining.""  "	rbo	2026-06-26
bips:49	bips:141	depends_on	high	This BIP defines the derivation scheme for HD wallets using the P2WPKH-nested-in-P2SH (BIP 141) serialization format.		rbo	2026-06-26
bips:49	bips:32	depends_on	high	This BIP defines the derivation scheme for HD wallets using the P2WPKH-nested-in-P2SH (BIP 141) serialization format.	HD wallets are fundamentally specified in BIP32	rbo	2026-06-26
bips:73	bips:70	references	high	"This BIP describes an enhancement to the payment protocol (BIP 70) that addresses the need for short URLs when scanning from QR codes. It generalizes the specification for the behavior of a payment request URL [...] Implementation of this BIP does not require full payment request (BIP 70) support. "	"Although BIP73 enhances BIP70 (which implies dependency), it explicitly states that ""this BIP does not require full payment request (BIP 70) support."""	rbo	2026-06-26
bips:74	bips:70	depends_on	high	The Payment Protocol (defined in BIP70) gives merchants a way to build sophisticated transactions by serializing one or more outputs in the form of a PaymentRequest. [...] While the Payment Protocol allows for any valid script in its outputs, it also ignores outputs with zero value. This means BIP70 implementations can encode an OP_RETURN script but must provide a greater than dust value for that output. [...] This BIP allows for zero value OP_RETURN outputs in serialized PaymentRequests. [...] The specification for this BIP is straightforward. BIP70 should be fully implemented with the following changes [...]	BIP74 simply relaxes a condition that is defined in BIP70 (i.e. zero value OP_RETURN outputs in serialized PaymentRequests)	rbo	2026-06-26
bips:111	bips:37	depends_on	high	This BIP extends BIP 37, Connection Bloom filtering, by defining a service bit to allow peers to advertise that they support bloom filters explicitly. [...] BIP 37 did not specify a service bit for the bloom filter service, thus implicitly assuming that all nodes that serve peers data support it.		rbo	2026-06-26
bips:112	bips:9	depends_on	high	"This BIP is to be deployed by ""versionbits"" BIP9 using bit 0.
"	BIP112 mandates the use of a concrete version bit, which were defined in BIP9	rbo	2026-06-26
bips:112	bips:68	depends_on	high	"This BIP describes a new opcode (CHECKSEQUENCEVERIFY) for the Bitcoin scripting system that in combination with BIP 68 allows execution pathways of a script to be restricted based on the age of the output being spent.
"		rbo	2026-06-26
bips:112	bips:65	references	low	"References [...] BIP 65 OP_CHECKLOCKTIMEVERIFY
"	References serving contextual embedding	rbo	2026-06-26
bips:112	bips:113	references	low	"References [...] BIP 113 Median past block time for time-lock constraints
"	References serving contextual embedding	rbo	2026-06-26



